Title,Location,Price,Area
                        Apartment Willemsparkweg                            ,            1071 GN Amsterdam (Museumkwartier)        ,"                €5,400 per month            ",185 m²
                        Apartment Bredeweg                            ,            1098 BP Amsterdam (Middenmeer)        ,"                €3,300 per month            ",125 m²
                        Apartment Westlandgracht                            ,            1059 TP Amsterdam (Hoofddorppleinbuurt)        ,"                €2,350 per month            ",55 m²
                        Apartment Voorthuizenstraat 36                            ,            1106 DK Amsterdam (Gein)        ,"                €1,650 per month            ",65 m²
                        Apartment Frans van Mierisstraat                            ,            1071 RT Amsterdam (Museumkwartier)        ,"                €2,800 per month            ",60 m²
                        Apartment Vondelstraat                            ,            1054 GE Amsterdam (Vondelbuurt)        ,"                €3,000 per month            ",125 m²
                        Apartment Poeldijkstraat 311                            ,            1059 VL Amsterdam (Westlandgracht)        ,"                €2,450 per month            ",83 m²
                        Apartment Minervalaan                            ,            1077 PK Amsterdam (Apollobuurt)        ,"                €4,500 per month            ",140 m²
                        Apartment Badhuiskade 187                            ,            1031 KV Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,900 per month            ",50 m²
                        Apartment Oostenburgermiddenstraat 30                            ,            1018 LC Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,675 per month            ",70 m²
                        Apartment Daniël Stalpertstraat                            ,            1072 XB Amsterdam (Oude Pijp)        ,"                €2,150 per month            ",80 m²
                        Apartment Anna Blamansingel 11                            ,"            1102 SR Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,475 per month            ",55 m²
                        Apartment Slotermeerlaan 23                            ,            1064 GZ Amsterdam (Slotermeer-Zuidwest)        ,"                €1,750 per month            ",80 m²
                        Apartment Stadionplein                            ,            1076 CK Amsterdam (Stadionbuurt)        ,"                €2,975 per month            ",80 m²
                        Apartment Jan van Zutphenstraat 115                            ,            1069 RR Amsterdam (Osdorp-Midden)        ,"                €1,750 per month            ",72 m²
                        Apartment Brederodestraat                            ,            1054 VD Amsterdam (Overtoomse Sluis)        ,"                €1,950 per month            ",43 m²
                        Apartment Valkenburgerstraat 111                            ,            1011 MH Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,800 per month            ",95 m²
                        Apartment Frederiksstraat                            ,            1054 LA Amsterdam (Overtoomse Sluis)        ,"                €2,900 per month            ",82 m²
                        House Arondeusstraat 10                            ,            1063 GC Amsterdam (Slotermeer-Noordoost)        ,"                €2,400 per month            ",82 m²
                        Apartment De Wittenkade                            ,            1052 AE Amsterdam (Staatsliedenbuurt)        ,"                €2,500 per month            ",100 m²
                        Apartment Van Ostadestraat                            ,            1072 SW Amsterdam (Nieuwe Pijp)        ,"                €2,350 per month            ",59 m²
                        Apartment Cornelis Anthoniszstraat                            ,            1071 VR Amsterdam (Museumkwartier)        ,"                €2,650 per month            ",70 m²
                        Apartment Rustenburgerstraat 140 B                            ,            1073 GJ Amsterdam (Nieuwe Pijp)        ,"                €1,700 per month            ",40 m²
                        Apartment Keizersgracht 734 C                            ,            1017 EW Amsterdam (Grachtengordel-Zuid)        ,"                €3,500 per month            ",136 m²
                        Apartment Kerkstraat 322 N                            ,            1017 HC Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",100 m²
                        Apartment Nijenburg                            ,            1081 GG Amsterdam (Buitenveldert-West)        ,"                €1,650 per month            ",47 m²
                        Apartment Nieuwe Looiersdwarsstraat                            ,            1017 TZ Amsterdam (De Weteringschans)        ,"                €1,550 per month            ",39 m²
                        Apartment Van Tuyll van Serooskerkenweg                            ,            1076 JL Amsterdam (Stadionbuurt)        ,"                €3,750 per month            ",122 m²
                        Apartment Gustav Mahlerplein 175                            ,            1082 MS Amsterdam (Zuidas)        ,"                €2,550 per month            ",87 m²
                        Apartment Van Nijenrodeweg 456                            ,            1082 HL Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",85 m²
                        Apartment Dijkwater 135                            ,            1025 CW Amsterdam (Buikslotermeer)        ,"                €1,850 per month            ",100 m²
